gameId,gameDate,gameType,gameMap,hero,winner,talents
53315992,05/06/2024 9:40:48 pm,Storm League,Garden of Terror,Jaina,False,"[""Fingers of Frost"",""Frost Shards"",""Ice Floes"",""Summon Water Elemental"",""Icy Veins"",""Numbing Blast""]"
53317766,05/06/2024 11:20:28 pm,Storm League,Infernal Shrines,Falstad,False,"[""Gathering Storm"",""Hammer Gains"",""BOOMerang"",""Mighty Gust"",""Flow Rider"",""Aerie Gusts"",""Wind Tunnel""]"
53312073,05/06/2024 3:05:18 pm,Storm League,Towers of Doom,Falstad,False,"[""Frequent Flyer"",""Hammer Gains"",""Secret Weapon"",""Mighty Gust"",""Sustained Winds"",""Aerie Gusts""]"
53212290,04/29/2024 11:46:36 pm,Storm League,Towers of Doom,Falstad,True,"[""Gathering Storm"",""Hammer Gains"",""BOOMerang"",""Mighty Gust"",""Flow Rider"",""Aerie Gusts""]"
53162773,04/26/2024 1:49:55 pm,Storm League,Cursed Hollow,Falstad,True,"[""Frequent Flyer"",""Hammer Gains"",""Secret Weapon"",""Mighty Gust"",""Sustained Winds"",""Aerie Gusts"",""Wind Tunnel""]"
53073239,04/20/2024 1:56:52 am,Storm League,Braxis Holdout,Diablo,False,"[""Feast on Fear"",""Life Leech"",""Diabolical Momentum"",""Apocalypse"",""Cruelty"",""Overpowering Nightmare""]"
53272510,05/03/2024 9:26:30 pm,Storm League,Braxis Holdout,Auriel,False,"[""Searing Light"",""Repeated Offense"",""Empathic Link"",""Crystal Aegis"",""Converging Force""]"
53318202,05/07/2024 1:03:40 am,Storm League,Tomb of the Spider Queen,Anub'arak,True,"[""Legion of Beetles"",""Bed of Barbs"",""Leeching Scarabs"",""Locust Swarm"",""Burning Beetles"",""Beetle, Juiced"",""Hive Master""]"
53317834,05/06/2024 11:41:00 pm,Storm League,Tomb of the Spider Queen,Anub'arak,True,"[""Nerubian Armor"",""Bed of Barbs"",""Chitinous Plating"",""Cocoon"",""Urticating Spines"",""Debilitation""]"
53192471,04/27/2024 10:01:56 pm,Storm League,Braxis Holdout,Anub'arak,True,"[""Regeneration Master"",""Underking"",""Chitinous Plating"",""Cocoon"",""Acid Drenched Mandibles"",""Epicenter""]"
53071986,04/19/2024 10:02:52 pm,Storm League,Sky Temple,Anub'arak,False,"[""Legion of Beetles"",""Underking"",""Leeching Scarabs"",""Cocoon"",""Burning Beetles"",""Epicenter""]"
53060851,04/18/2024 11:47:39 pm,Storm League,Sky Temple,Anub'arak,True,"[""Legion of Beetles"",""Underking"",""Leeching Scarabs"",""Cocoon"",""Acid Drenched Mandibles"",""Debilitation"",""Rewind""]"
